sequence_id,label,frame_idx,timestamp_ms,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_mx,imu_my,imu_mz,hall_thumb,hall_index,hall_middle,hall_ring,hall_pinky,contact_i,contact_m,contact_p,contact_um
8f715986,a,0,2,9389.0,7137.0,4027.0,5426.0,4133.0,2.24,-5.35,7.56,13.3125,17.75,9.9375,240.875,12.625,35.75,0.0,0.0,0.0,0.0
8f715986,a,1,68,10932.0,12179.0,11648.0,10029.0,12182.0,-0.16,-9.69,-0.83,-0.25,-1.1875,-0.5,234.0625,-0.75,95.4375,0.0,0.0,0.0,0.0
8f715986,a,2,136,10934.0,12179.0,11645.0,10031.0,12181.0,-0.05,-9.71,-0.75,0.1875,0.3125,0.0,234.0625,-0.6875,95.375,0.0,0.0,0.0,0.0
8f715986,a,3,202,10935.0,12178.0,11644.0,10029.0,12183.0,-0.12,-9.75,-0.75,-0.3125,-0.125,1.125,234.0625,-0.75,95.375,0.0,0.0,0.0,0.0
8f715986,a,4,265,10934.0,12177.0,11645.0,10031.0,12182.0,-0.07,-9.76,-0.82,-0.4375,-0.625,-0.25,234.0,-0.75,95.375,0.0,0.0,0.0,0.0
8f715986,a,5,330,10935.0,12179.0,11647.0,10032.0,12182.0,-0.06,-9.72,-0.83,-0.75,-1.125,-1.9375,233.9375,-0.75,95.375,0.0,0.0,0.0,0.0
8f715986,a,6,395,10934.0,12178.0,11646.0,10031.0,12183.0,-0.1,-9.71,-0.74,-1.4375,-0.0625,0.875,234.0,-0.75,95.4375,0.0,0.0,0.0,0.0
8f715986,a,7,468,10934.0,12177.0,11647.0,10032.0,12183.0,-0.18,-9.78,-0.87,-1.75,0.4375,0.625,233.9375,-0.75,95.5,0.0,0.0,0.0,0.0
8f715986,a,8,533,10935.0,12179.0,11647.0,10032.0,12182.0,-0.08,-9.69,-0.91,-0.5625,-0.625,-0.8125,234.0,-0.75,95.5,0.0,0.0,0.0,0.0
8f715986,a,9,598,10936.0,12178.0,11647.0,10030.0,12182.0,-0.08,-9.76,-0.78,-0.8125,-0.1875,-0.25,234.0,-0.6875,95.5,0.0,0.0,0.0,0.0
